tangent;相切的，切线
iteration;迭加
subassembly;组件装配，局部装配
dioxide;二氧化物
axis;轴
anneal;退火
conceive;设想，想象
clutch;离合器
category;种类，分类
induce;引起，导致，诱导
hose;软管，橡皮胶
abbreviation;缩写，省略
streamlined;流线型
biaxial;双轴的
magnitude;尺寸，大小
nomenclature;名称，术语
silicon;硅
allowance;公差
decode;译码
stability;稳定性
abundance;丰富，充足
injector;喷嘴
clockwise;顺时针的
mechatronic;机电一体化，机械电子学
bracket;座，托架，括号
brace;支柱，支持物
heat-treatment;热处理
angular;角形的
actuate;开动，操作
cylinder;圆柱
unbalanced;不平衡的
humidity;湿度
intrared;红外线（的），红外区（的）
trigonometric;三角的
administer;掌管
patent;专利
imitation;模仿remainder;剩余物
ultrasonic;超声波的，超声的
eccentricity;偏心率
blower;鼓风机
velocity;速度
eject;喷射
solvent;溶剂
nominal;名义的
spherical;球形的，球状的
cross-section;横截面
deepen;深化
layman;外行人
contaminant;粘杂物，杂物
ample;丰富的
pamphlet;小册子，小论文
probe;探测
cling;粘住
beforehand;事先，预见
blueprint;设计图，蓝图
insufficient;不足的，不够的
elevate;升高，提起
torque;扭矩
compute;计算
account for;占，计算出，解释说明
impractical;不切实际的，不现实的
saturation;饱和
criteria;判断标准，准则，依据
teflon;聚四氟乙烯
radially;径向地
inherent;固有的，先天的，内在的
transverse;横向的，横截的
adiabatic;绝热的
programmer;程序设计者
rivet;铆钉
unstable;不稳定的
erosion;腐蚀
bandwidth;颇带宽度
algebraic;代数的
uniformly;均匀地
circulation;循环，流通
flywheel;飞轮
baseplate;底板，基座
roughness;粗糙度
sheave;滑轮
periodic;周期的，定期的，循环的
evacuate;排空，抽空
tensile stress;拉伸应力
feedback;反馈
junction;连接，接点
resultant;合成的，总的
productivity;生产率
guideway;导轨
bevel;锥齿轮
abolish;废除
flake;小片，片状屑
hoist;升起
coaxial;共轴的
lathe;车床
toxic;中毒的，有毒的
extrude;挤出，挤压
automation;自动化
coolant;冷却液
wrought iron;熟铁
dedicated;专用的
caution;当心，注意
debris;残渣，碎片
evaporate;气化，蒸发
valve;阀门
ferrite;铁素体
grinder;磨床，研磨机
bronze;青铜
inaccuracy;误差，偏差，不准确，不精密
ascent;上升
reducer;减速器
denominator;分母
constituent;成分，组分
facilitate;使便利，促进，
digitize;数字化
testify;证明
fossil;化石
brine;盐水
wobble;摆动
approximately;大约
uniquely;独特地，唯一地
monitor;监视器
friction;摩擦
database;数据库
helical;螺旋的
fit;配合
duplicate;复制
deformation;变形
scoring;刮痕
distortion;扭曲，变形
calibration;校准
bilateral;双向的，双边的
rectangular;矩形
deform;变形
fracture;破裂，断裂
pinion;小齿轮
simulation;仿真，模拟
churn;搅拌
air-conditioning;空调
viscosity;粘性
destructive;毁灭性的，破坏的，有害的
resiliency;弹性
pulley;滑轮
apparatus;装置，器械
gear box;齿轮箱
refinary;炼油厂
flammable;易燃的
authorise;批准，授权
specific heat;比热
airflow;气流
creep;蠕变
calorie;卡(热量单位)
nominate;提名，指定
