abbreviation;缩写，省略
abnormal;反常
abolish;废除
abrasive;研磨的，磨料的
abrupt;突然的
absorption;吸收
abundance;丰富，充足
accelerator;加速器，加速剂
accessory;附件，辅助设备
accommodate;使适应
account for;占，计算出，解释说明
activate;启动
actuate;开动，操作
addendum;齿顶高
adhere;黏附，胶合
adhesive;附着的
adiabatic;绝热的
adjacent;接近的，临近的
administer;掌管
advantageous;有利的
adverse;相反的
agitate;搅动
agitator;搅拌器
air-conditioning;空调
airflow;气流
algebraic;代数的
algorithm;算法
allowance;公差
alloy;合金
ambient;周围的
ammonia;氨
ample;丰富的
amplification;扩大，放大
amplitude;振幅
analytical;分析的
angular;角形的
anneal;退火
antenna;天线
anti-clockwise;逆时针的
apex;顶点
apparatus;装置，器械
approximately;大约
aqueous;水的
arc;弧
arena;活动场所
artery;干线，动脉
ascent;上升
ascribe;把...归因于
astronaut;宇航员
attribute;把...归于
austenite;奥氏体
authorise;批准，授权
automation;自动化
axial;轴向的
axis;轴
axle;车轴
bachelor;学士
yielding;柔性的，易弯曲的
wrought iron;熟铁
worm-gear;蜗轮
workpiece;工件
wobble;摆动
withstand;经得起，耐得住
weldability;可焊性
wavelength;波长
watertight;防水的，防渗的
warehouse;仓库，货仓
vortex;涡旋，涡流
viscous;粘性的
viscosity;粘性
visualize;可视，检查
vicinity;附近
versatility;多适应性
ventilation;通风
velocity;速度
valve;阀门
unstable;不稳定的
unpredictable;不可预见的，不可预料的
uniquely;独特地，唯一地
unify;统一，（合）成一体
uniformly;均匀地
undercutting;（齿轮）根切
unbalanced;不平衡的
unavoidable;不可避免的
ultrasonic;超声波的，超声的
trigonometric;三角的
transverse;横向的，横截的
traditional;传统的，惯例的
toxic;中毒的，有毒的
torque;扭矩
thrust bearing;推力轴承
thread;线，螺纹，加工螺纹
testify;证明
tensile stress;拉伸应力
temper;回火
teflon;聚四氟乙烯
taper;锥形的
tangent;相切的，切线
tablet;小片，小块
symposium;讨论会
supporter;支架
superimpose;迭加，安装
sulfur;硫
subsystem;子系统
subassembly;组件装配，局部装配
subscript;下标，注脚
streamlined;流线型
stiffness;刚性，稳定性
stationary;不动的
stainless;不锈的
stability;稳定性
spur gear;直齿圆柱齿轮
sprocket;链轮
spline;花键
spindle;轴
spherical;球形的，球状的
specific heat;比热
solvent;溶剂
solute;溶质
smoothness;光滑度，光洁度
smear;涂抹，击破
sleeve;套筒
slag;矿渣
simulation;仿真，模拟
silicon;硅
sheave;滑轮
shaving;刮
shaping;刨
sensor;传感器，检测器
self-locking;自锁
seam;焊缝
screwdriver;活动扳手，螺丝起子
scoring;刮痕
scanner;扫描器
saturation;饱和
safety factor;安全系数
rupture;破裂，断裂
roughness;粗糙度
rotor;转子，转轴
robotics;机器人学
rivet;铆钉
resultant;合成的，总的
resiliency;弹性
remainder;剩余物
reliable;可靠性
refinary;炼油厂
reducer;减速器
recycle;再循环，反复利用
rectangular;矩形
realize;实现
ratify;批准，认可
radially;径向地
quench;淬火
purify;净化，使纯净
pulley;滑轮
propel;推行
programmer;程序设计者
profile;轮廓，断面
productivity;生产率
probe;探测
pneumatic;气动的，空气的
pitting;点蚀
pitch;（齿轮）节
pinion;小齿轮
permanently;永久，不变，持久
periodic;周期的，定期的，循环的
pearlite;珠光体
patent;专利
parameter;参变量，参量，参数
pamphlet;小册子，小论文
oxidition;氧化（作用）
oxide;氧化物
overflow;溢出
optimization;最优化，最佳化
opaque;不透明的
numerator;分子
normalizing;正火
nonlinear;非线性
non-ferrous;非铁的
nominate;提名，指定
nominal;名义的
nomenclature;名称，术语
multimedia;多媒体
multifunctional;多功能的
monitor;监视器
modification;修改
milling;铣加工
microwave;微波
microscopic;微观的
microprocessor;微处理器
metallurgical;冶金的，冶金学的
mesh;啮合
merge;合并，消失
mechatronic;机电一体化，机械电子学
martensite;马氏体
manipulate;操纵，利用，操作
malfunction;失灵，故障
magnitude;尺寸，大小
machinability;切削性，机械加工性
lubrication;润滑
lubricant;润滑剂
lining;衬里（层）
layman;外行人
lathe;车床
keyway;键槽
junction;连接，接点
journal bearing;滑动轴承
iteration;迭加
involuate;渐近线
investigation;调查，研究
intervention;介入，干预
intermittent;间断的，断断续续的
interchangeability;互换性，可交换性
integral;总体的，完整的，积分的
insolute;绝缘，隔离
insufficient;不足的，不够的
innovation;改革，革新
inlet;入口，进口
injector;喷嘴
initiate;开始
inherent;固有的，先天的，内在的
intrared;红外线（的），红外区（的）
induce;引起，导致，诱导
inaccuracy;误差，偏差，不准确，不精密
impractical;不切实际的，不现实的
backlash;齿隙
baseplate;底板，基座
bandwidth;颇带宽度
beforehand;事先，预见
bevel;锥齿轮
biaxial;双轴的
bilateral;双向的，双边的
blower;鼓风机
blueprint;设计图，蓝图
boiler;锅炉
brace;支柱，支持物
bracket;座，托架，括号
brazing;铜焊
brine;盐水
bronze;青铜
buffer;缓冲器
bypass;支路，旁路
calibration;校准
calorie;卡(热量单位)
cam;凸轮
cantilever;悬臂梁
carbide;碳化物
casting;铸件，铸造
category;种类，分类
caution;当心，注意
Celsius;摄氏的
cementite;渗碳体
centrifugal;离心的
churn;搅拌
circulation;循环，流通
clamp;夹紧装置
climax;顶点
cling;粘住
clockwise;顺时针的
clutch;离合器
coating;涂层
coaxial;共轴的
coefficient;系数
coincide;相重合
cold-working;冷加工
collide;碰撞
combustion;燃烧
common normal;公法线
compatible;相容的
compensate;补偿
complexity;复杂，复杂性，复杂的事物
compressive;可压缩的
compute;计算
conceive;设想，想象
concurrently;同时，兼
configuration;配置，结构，外形
congregate;聚集
connector;接头，连接物
consecutive;连续的，连贯的
constituent;成分，组分
constrain;强迫，约束
contaminant;粘杂物，杂物
contaminate;污染
convergence;收敛
conveyor;传送器，运输机
coolant;冷却液
coupling;联轴器
creep;蠕变
criteria;判断标准，准则，依据
cross-section;横截面
cutlery;刀具，刃具
cutting angle;切削角
cutting fluid;切削液
cylinder;圆柱
damp;衰减，阻尼
database;数据库
deadlock;停顿
debris;残渣，碎片
decimal;十进制
decode;译码
dedendum;齿根高
dedicated;专用的
deduce;推论，演绎
deepen;深化
deflect;使偏移
deform;变形
deformation;变形
degrade;降级，衰变
denominator;分母
denote;表示
descent;下降
designate;指定，称为
designation;命名，名称
designer;设计者
destructive;毁灭性的，破坏的，有害的
detain;阻止
detrimental;有害的
differential;微分
diffuse;扩散
digitize;数字化
dimensionless;无量纲化
dioxide;二氧化物
dissipate;消散，驱散
distortion;扭曲，变形
disturbance;扰动，干扰
donate;贡献出
downfall;落下
drawback;缺点
drier;干燥机
ductility;可延展性
duplicate;复制
durability;耐久性
dynamo;发电机
eccentricity;偏心率
eject;喷射
elastomer;合成橡胶
electrochemical;电化学的
elevate;升高，提起
elongation;延展率
embody;包含
endurance;持久性
equilibrium;平衡，均衡
erase;擦去，消除
erosion;腐蚀
evacuate;排空，抽空
evaporate;气化，蒸发
execution;执行，施行
expel;排，出，挤出
extract;抽出，挤干
extrude;挤出，挤压
extrusion;热压，挤压
fabricate;制造，生产，加工
fabrication;生产，制造，加工
facilitate;使便利，促进，
feedback;反馈
ferrite;铁素体
fillet;倒角
fire-resistant;耐火的，不燃烧的
fit;配合
flake;小片，片状屑
flammable;易燃的
flange;凸缘
flexibility;灵活性，机动性，柔韧性
fluctuate;波动
flywheel;飞轮
foam;泡沫，海绵
forging;锻造
fossil;化石
fracture;破裂，断裂
friction;摩擦
fume;烟雾，烟
gain;增益(系数)，放大(系数/率)，增量
gasket;垫圈，填料
gauge;测量表
gear box;齿轮箱
gearing;(两齿轮)传动装置
generalize;归纳
gradient;斜度，梯度
graphite;石墨
grinder;磨床，研磨机
guideway;导轨
handbook;手册
harden;淬火
heat-treatment;热处理
helical;螺旋的
hinge;铰接，铰链
hoist;升起
homogeneous;均匀的，同质的
hose;软管，橡皮胶
humidity;湿度
hydraulic;与水有关的，水力的，水压的
idealize;使理想化
ignite;点火，点燃
imitation;模仿
